title,rating,date,cleaned_content,sentiment_score,sentiment
Very Great Processor . . .,5.0,2024-04-24,processor power efficient develop android apps web development processor beast little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd read,0.7845,positive
Best CPU for Budget Ballers.,5.0,2024-06-15,processor great mid high range budget builds looking cpu around 10k inr perfect choice 6 cores 12 threads quite powerful pairing rx 6600 gave around 120 fps almost games playing high graphics stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job overall 9 5 10 product read,0.9518,positive
Thanku,5.0,2024-07-01,thanku appario send best cpuread,0.6369,positive
No discrete graphics in this processor,4.0,2024-02-18,work without graphic card careful ordering read,-0.1139,negative
Best Budget Cpu,5.0,2024-06-26,budget cpu gamers creatorsread,0.0,neutral
A Balanced Powerhouse for Everyday Computing,5.0,2024-06-16,integrated graphicsread,0.0,neutral
Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,recently purchased i5 processor amazon unfortunately turned defective despite efforts seek assistance amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain disappointed product lack support advise potential buyers exercise caution considering purchase read,-0.7717,negative
Highest Price to Performance processor for gaming.,5.0,2024-03-24,upgrade 9400f performance gain huge use cooler master hyper 212 cbinet 3 intake 2 exhaust fan temp never cross 60 c even full load stress test efficiency processor incredible runs 1 2 volt never reach 1 2v even multi core stress test building mid range pc gaming purpose cpu consider price point nothing beat processor read,0.3871,positive
,,2024-04-17,ótimo desempenho com custo beneficio mas existe um detalhe muito importante sem gpu inclusa em outras palavras seu computador precisa de uma placa de vídeo para funcionar diferente de outros processadores com gpu inclusa um detalhe importante read,0.0,neutral
,,2024-07-05,سهولة الشراء و سرعة التوصيل وجودة المنتجread,0.0,neutral
,,2024-05-08,livré en parfait état et dans les tempsread,0.0,neutral
,,2024-04-10,switched 6th gen i5 6600k 12400f feel significant improvement especially daily tasks games works perfectly got ddr5 6000mhz cl30 ram well works without problem combined 4060 ti consumes little power gets everything need done far got noctua cooler though works really quiet cool perfect price 500sek cheaper version integrated graphics low profile gpus case want simple daily office use read,0.9524,positive
,,2024-03-16,ivm mijn oude i5 8400 een wereld van verschil alles laad direct geen vertragingen meer icm een rx 6600 ook zo goed als alle spellen op 1080p op minimaal 75fps read,0.0,neutral
Very Great Processor . . .,5.0,2024-04-24,processor power efficient develop android apps web development processor beast little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd read,0.7845,positive
Best CPU for Budget Ballers.,5.0,2024-06-15,processor great mid high range budget builds looking cpu around 10k inr perfect choice 6 cores 12 threads quite powerful pairing rx 6600 gave around 120 fps almost games playing high graphics stock cooler stock cooler definitely keep heat away experienced less 60 gaming although u go better cooler u prefer stock cooler job overall 9 5 10 product read,0.9518,positive
Thanku,5.0,2024-07-01,thanku appario send best cpuread,0.6369,positive
No discrete graphics in this processor,4.0,2024-02-18,work without graphic card careful ordering read,-0.1139,negative
Best Budget Cpu,5.0,2024-06-26,budget cpu gamers creatorsread,0.0,neutral
A Balanced Powerhouse for Everyday Computing,5.0,2024-06-16,integrated graphicsread,0.0,neutral
Disappointing Experience with Defective i5 Processor,1.0,2023-12-26,recently purchased i5 processor amazon unfortunately turned defective despite efforts seek assistance amazon customer support proved unhelpful leaving frustrated hard earned money seemingly drain disappointed product lack support advise potential buyers exercise caution considering purchase read,-0.7717,negative
Highest Price to Performance processor for gaming.,5.0,2024-03-24,upgrade 9400f performance gain huge use cooler master hyper 212 cbinet 3 intake 2 exhaust fan temp never cross 60 c even full load stress test efficiency processor incredible runs 1 2 volt never reach 1 2v even multi core stress test building mid range pc gaming purpose cpu consider price point nothing beat processor read,0.3871,positive
,,2024-04-17,ótimo desempenho com custo beneficio mas existe um detalhe muito importante sem gpu inclusa em outras palavras seu computador precisa de uma placa de vídeo para funcionar diferente de outros processadores com gpu inclusa um detalhe importante read,0.0,neutral
,,2024-07-05,سهولة الشراء و سرعة التوصيل وجودة المنتجread,0.0,neutral
,,2024-05-08,livré en parfait état et dans les tempsread,0.0,neutral
,,2024-04-10,switched 6th gen i5 6600k 12400f feel significant improvement especially daily tasks games works perfectly got ddr5 6000mhz cl30 ram well works without problem combined 4060 ti consumes little power gets everything need done far got noctua cooler though works really quiet cool perfect price 500sek cheaper version integrated graphics low profile gpus case want simple daily office use read,0.9524,positive
,,2024-03-16,ivm mijn oude i5 8400 een wereld van verschil alles laad direct geen vertragingen meer icm een rx 6600 ook zo goed als alle spellen op 1080p op minimaal 75fps read,0.0,neutral
Very Great Processor . . .,5.0,2024-04-24,processor power efficient develop android apps web development processor beast little gaming rx580 combination superb 5400mhz ddr5 memory 1 tb ssd read,0.7845,positive
